tract,total_pixels,frac_veg,mean_patch_size,edge_density
17031010100,1056066,0.17736296784481273,58.16987577639752,0.11615495144593443
17031010201,1518544,0.22734408749433668,31.608862845632668,0.20611035736421218
17031010202,977180,0.18674246300579217,63.4937369519833,0.12382260596546311
17031010300,1314286,0.19089756719618103,56.90496711272397,0.126691708443561
17031010400,3591474,0.09417943718929887,38.258454925913355,0.06308204211711474
17031010501,562977,0.1495283111032955,48.37988505747126,0.10080667267601899
17031010502,518499,0.1661758267614788,27.120553981743782,0.17028148682785998
17031010503,735176,0.13892727727782192,48.52066508313539,0.13941289512902974
17031010600,1483476,0.22168744219657074,42.31990734783168,0.15428768203602003
17031010701,1196869,0.36206552262611863,72.58710217755444,0.20196330275229357
17031010702,994617,0.12396530523809668,45.29684055841293,0.1088273338909563
17031020100,1738301,0.09282166897447565,14.070986308537542,0.12657766346714747
17031020200,3507107,0.1578295158944395,13.53229513006063,0.21649317461300505
17031020301,2363453,0.16372147023867198,21.059540655273757,0.15144490996686252
17031020302,1832137,0.14370322743331967,13.528106052820881,0.19604715863214442
17031020400,2245928,0.18887827214407585,24.846658466584667,0.21565098407410527
17031020500,3464617,0.35545256517531376,36.545403288028965,0.36558934220665973
17031020601,1906049,0.09395561184418659,12.795370105744498,0.12477758636473339
17031020602,1711492,0.0715627066910041,6.799478154666074,0.13410093727469358
17031020701,1644391,0.1392764859452527,12.727146429563767,0.19600344611999973
17031020702,1985165,0.06511297549573965,8.91386800910282,0.09564114499803061
17031020801,2027077,0.07021094906606902,6.890486564996369,0.1287203214217107
17031020802,1994432,0.05409760773994802,5.310789525497145,0.1117519475829335
17031020901,2204527,0.083573936722027,7.358749051403922,0.14423643865333194
17031020902,1466210,0.16867501926736278,17.33461835003855,0.1786923769048166
17031030101,663607,0.050008514075348814,39.41330166270784,0.043224521431246214
17031030102,558433,0.029862132073140375,33.5533199195171,0.025743322377120403
17031030103,523728,0.05155156875324596,49.539449541284405,0.03701782752655701
17031030104,611752,0.034340713230197856,19.028985507246375,0.03185355534854836
17031030200,1949824,0.22816674735771023,33.00823564327052,0.20170921379791792
17031030300,916103,0.21990867839096695,28.563589961718417,0.22754749414553246
17031030400,963989,0.16617305799132562,51.048119821542386,0.12834996157240045
17031030500,1718564,0.20662425140989804,56.7610294117647,0.1575472634813294
17031030601,691168,0.04354512940413908,33.51559020044544,0.04190281431855439
17031030603,323158,0.07009574263982324,26.966666666666665,0.0855367799184396
17031030604,801578,0.11617334807093009,43.312558139534886,0.09570212259742025
17031030701,194869,0.07958166768444443,35.085972850678736,0.08080717844877217
17031030702,62059,0.03785107720072834,19.73949579831933,0.05573983470160599
17031030703,552113,0.10323792412060574,38.564952638700944,0.083703130374957
17031030706,1580470,0.2274816984820971,67.95085995085995,0.1156640085392236
17031030800,1577612,0.23139910193380883,67.45343680709534,0.16553694100802038
17031030900,1136743,0.1574190472252743,50.69263456090651,0.13348961731498388
17031031000,1181740,0.15986765278318413,52.860100727476215,0.12621247337950797
17031031100,1529154,0.21178115480847579,30.760448328267476,0.20325319904214956
17031031200,908262,0.0745864078867111,33.61985111662531,0.0782997260039387
17031031300,3055064,0.16853787678425067,40.80630844824854,0.09727631928120925
17031031400,7027133,0.17993924407009232,28.836621131610755,0.14324150363713
17031031501,443795,0.12994287903198548,42.46539027982327,0.12161725735167252
17031031502,450149,0.08774872320054027,37.98076923076923,0.08883818914501
17031031700,1327766,0.18659387271552366,57.39008570766736,0.13906820533054562
17031031800,654422,0.13401138714774258,49.24199887703537,0.11618385036496351
17031031900,717040,0.1856409684257503,63.84268585131895,0.1344393622514173
17031032100,1198742,0.13053934875060688,46.44790739091719,0.12083441306037834
17031040100,7147141,0.3299404615076154,17.701294119413294,0.4094436499191147
17031040201,2268621,0.05446700881284269,5.719542677281985,0.10829596845958402
17031040202,1846162,0.05435655159189714,5.742546494992847,0.10167368464085687
17031040300,2133916,0.1847621930760161,14.380908958272542,0.19143347669986735
17031040401,1762414,0.0947802275742249,10.879379966132603,0.1328996726842453
17031040402,1741510,0.2529684009853518,37.71806506849315,0.21785941097086609
17031040600,1300800,0.10142681426814268,17.378292939936774,0.1264097387423557
17031040700,1130639,0.0764585336256754,6.929063802500801,0.12380697869741163
17031040800,771249,0.08727012936159399,7.593298736462094,0.13416172798091616
17031040900,1254118,0.1772121921541673,17.538273358585858,0.2236282943833626
17031050100,930952,0.1822478495131865,70.05119735755574,0.1380215306600616
17031050200,2531336,0.11684817819522972,16.684453971119133,0.15145438478113027
17031050300,1383423,0.06487748143554069,7.016886873582988,0.11881665849844804
17031050500,2515994,0.10609603997465812,16.81598840871866,0.13645232924442346
17031050600,924537,0.16998670685975792,65.26536544850498,0.1337212356007303
17031050700,457497,0.20762977680727962,44.99763145428707,0.18743320537263922
17031050800,489986,0.15927597931369467,25.005767382249278,0.18151891994166372
17031050900,761053,0.05478067887519003,7.354207091197742,0.10461834090253748
17031051000,826944,0.052107518767897223,9.02219430485762,0.09708435561739015
17031051100,537277,0.15304954427604384,15.318554396423249,0.18601483379333852
17031051200,511000,0.18643052837573384,27.43836405529954,0.20452628054904587
17031051300,1101899,0.2065107600605863,45.675230830991566,0.197450173869846
17031051400,1258852,0.14138437242821236,16.46304689667931,0.13683099908413535
17031060100,905945,0.22949516802896422,83.29727564102564,0.11172717664380011
17031060200,885528,0.21178776955669387,68.24745269286754,0.16196817814448908
17031060300,889813,0.18876550466221553,57.34585182656197,0.1491555415396475
17031060400,904236,0.14862823422203938,45.18997982515131,0.13537772251757846
