year,tract,asthma,asthma_ci_low,asthma_ci_high,data_value_unit,totalpopulation,totalpop18plus
2022,17031570200,8.7,7.7,9.7,%,2096,1561
2022,17031390400,11.9,10.7,13.3,%,2871,2319
2022,17031080201,8.4,7.5,9.5,%,3375,3214
2022,17031120200,8.5,7.6,9.6,%,4748,3542
2022,17031031400,8.0,7.1,9.0,%,5221,4912
2022,17031150700,8.8,7.8,9.9,%,4429,3470
2022,17031460301,12.2,10.9,13.6,%,2987,2260
2022,17031063303,7.8,6.9,8.7,%,1274,1218
2022,17031250500,9.4,8.3,10.5,%,7315,5914
2022,17031560300,9.3,8.3,10.4,%,3253,2482
2022,17031030900,8.4,7.5,9.4,%,2952,2548
2022,17031231100,10.8,9.6,12.1,%,1214,878
2022,17031030703,8.9,7.9,9.9,%,3075,2829
2022,17031550100,9.8,8.7,10.9,%,7019,5379
2022,17031070200,8.4,7.4,9.4,%,4200,3684
2022,17031071200,8.6,7.6,9.6,%,2973,2545
2022,17031560900,9.1,8.1,10.2,%,5112,4019
2022,17031040201,8.4,7.5,9.4,%,6408,5340
2022,17031040900,8.5,7.6,9.5,%,2063,1753
2022,17031090200,8.8,7.8,9.8,%,6626,5265
2022,17031310200,8.4,7.4,9.4,%,1588,1378
2022,17031400800,13.9,12.4,15.6,%,3178,2141
2022,17031750400,9.5,8.4,10.6,%,2909,2303
2022,17031770601,8.6,7.7,9.7,%,3272,2658
2022,17031810301,9.4,8.4,10.5,%,4105,3228
2022,17031816700,9.5,8.4,10.6,%,2693,2049
2022,17031740400,9.3,8.3,10.4,%,4695,3617
2022,17031808800,8.3,7.4,9.3,%,3988,3139
2022,17031800300,8.1,7.2,9.1,%,3613,2529
2022,17031671900,11.3,10.1,12.7,%,1122,872
2022,17031801100,8.3,7.4,9.3,%,4871,3392
2022,17031806102,8.5,7.6,9.5,%,4400,3621
2022,17031809900,8.4,7.5,9.4,%,3046,2450
2022,17031811701,9.4,8.3,10.5,%,3455,2554
2022,17031801901,8.2,7.3,9.2,%,5016,3989
2022,17031803017,8.7,7.8,9.8,%,6283,5011
2022,17031802402,8.4,7.5,9.4,%,5543,4674
2022,17031813100,9.1,8.1,10.2,%,4678,3482
2022,17031818300,9.7,8.6,10.8,%,5922,4660
2022,17031813701,9.3,8.3,10.5,%,3886,2771
2022,17031820204,8.8,7.9,9.9,%,4434,3667
2022,17031804104,7.4,6.5,8.3,%,4949,3711
2022,17031802607,8.8,7.9,9.9,%,1536,1194
2022,17031710500,12.4,11.1,13.9,%,4036,3248
2022,17031820603,10.1,9.0,11.3,%,5530,4207
2022,17031818900,8.6,7.7,9.6,%,4496,3538
2022,17031670900,11.3,10.1,12.6,%,1172,866
2022,17031809700,9.2,8.2,10.3,%,3714,2807
2022,17031803800,9.0,8.0,10.1,%,4522,3597
2022,17031812100,9.4,8.4,10.5,%,4763,3413
2022,17031803300,8.6,7.7,9.7,%,5726,4751
2022,17031802900,8.4,7.5,9.4,%,6055,4545
2022,17031820101,8.5,7.6,9.5,%,7889,6417
2022,17031804705,8.7,7.7,9.7,%,4148,3251
2022,17031660400,10.0,8.9,11.2,%,5692,4156
